Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	tree_length
0	-613.7113	-760.0292	146.3179	1.795834	2.57807	0.9376699
6	-615.9972	-761.6305	145.6333	1.703146	2.57807	1.590544
12	-598.7196	-745.7492	147.0296	1.904126	1.544429	0.6264843
18	-597.1997	-743.7355	146.5358	1.621149	2.243401	1.064091
24	-601.3912	-747.2631	145.8719	1.531795	3.836743	1.130446
30	-594.6717	-741.0157	146.344	1.876344	2.733541	0.7062189
36	-593.5793	-739.5447	145.9654	2.087645	3.047689	0.7534168
42	-595.9778	-742.1959	146.2181	2.111015	2.581392	0.6316893
48	-593.3337	-739.1685	145.8348	2.111015	3.565885	0.5088541
54	-591.6835	-737.3207	145.6372	2.10909	4.139148	0.4852774
60	-595.8943	-742.4526	146.5583	1.451825	2.132738	1.247134
66	-596.0274	-741.479	145.4516	1.456256	2.952937	1.774415
72	-581.1029	-726.4195	145.3166	1.334405	2.562094	2.06847
78	-592.1038	-735.891	143.7872	1.12827	3.721682	2.858748
84	-594.4459	-738.0077	143.5618	1.395397	7.07618	2.26993
90	-591.0492	-735.5157	144.4664	1.198851	5.561467	2.037606
96	-594.3209	-739.6287	145.3078	1.364875	2.490494	2.077217
102	-597.5267	-741.7485	144.2219	1.208523	3.339147	2.631082
108	-597.5827	-740.9831	143.4004	1.07271	3.347068	3.207213
114	-602.6628	-746.9668	144.304	0.9183666	1.816083	3.207213
120	-611.6519	-754.6493	142.9974	0.9283458	3.044122	3.599815
126	-610.3996	-752.7119	142.3123	0.9905706	3.008025	3.967494
132	-613.194	-755.6058	142.4118	0.8931516	2.700198	4.044132
138	-600.2871	-744.259	143.9718	1.188205	3.490855	2.761399
144	-597.9318	-741.9373	144.0055	1.006841	3.244227	2.909033
150	-598.1721	-743.0052	144.8331	1.391288	2.361577	2.40762
156	-608.3518	-753.022	144.6702	1.391288	4.650146	1.94115
162	-596.7978	-741.5346	144.7368	1.606584	5.771102	1.528177
168	-601.0243	-746.7793	145.755	1.589903	2.623678	1.568449
174	-603.1309	-747.6715	144.5406	2.039501	8.21241	0.8622
180	-603.4736	-748.4887	145.0151	2.025588	6.811482	0.504381
186	-609.1768	-754.6254	145.4486	2.038057	4.263195	0.9087008
192	-607.3458	-752.7914	145.4456	1.710279	4.632297	1.122936
198	-614.1642	-759.675	145.5107	1.849312	4.791874	0.869376
204	-613.0464	-758.8579	145.8115	1.859126	3.815756	0.869376
210	-605.4461	-749.8792	144.4331	1.43062	6.379125	1.76833
216	-597.348	-743.0547	145.7068	1.587378	2.236709	1.744438
222	-584.7837	-729.9311	145.1475	1.291047	2.768702	2.144505
228	-590.891	-734.838	143.947	1.131958	4.444744	2.611954
234	-609.0596	-753.8142	144.7546	1.149054	3.127062	2.388562
240	-606.0538	-749.5236	143.4698	1.149054	4.367961	2.907554
246	-595.0755	-738.5224	143.4469	1.171976	4.367961	2.907554
252	-590.3825	-734.5112	144.1287	1.093672	3.456138	2.731304
258	-585.2608	-728.2797	143.0189	1.105144	2.918405	3.515706
264	-587.664	-732.2093	144.5453	1.286052	2.393787	2.64241
270	-593.737	-739.4106	145.6736	1.559327	2.858044	1.572044
276	-587.5909	-733.0509	145.4599	1.559327	3.000195	1.681832
282	-588.3427	-733.7915	145.4488	1.521326	2.82269	1.770803
